season,week,game_id,game_type,home_team,away_team,div_game,actual_home_win,calibrated,model_side,model_team,model_odds,model_prob,model_edge,bet_flag,model_reason,model_profit,model_is_favorite,model_is_home,bl_home_profit,bl_favorite_profit,bl_highprob_profit,bl_highev_noguard_profit,bl_highev_guard_profit
2023,3,2023_03_LAC_MIN,REG,MIN,LAC,0,0.0,False,home,MIN,-110.0,0.5905187897550216,0.12735405316867754,1,edge 12.74% clears required 2.00%; market quality OK,-10.0,True,True,-10.0,-10.0,-10.0,-10.0,-10.0
2023,3,2023_03_NE_NYJ,REG,NYJ,NE,1,0.0,False,home,NYJ,120.0,0.5251583463133612,0.15534836188939471,1,edge 15.53% clears required 3.00%; market quality OK,-10.0,False,True,-10.0,7.04225352112676,-10.0,-10.0,-10.0
2023,3,2023_03_BUF_WAS,REG,WAS,BUF,0,0.0,False,home,WAS,200.0,0.40262040323575443,0.2078612097072633,1,edge 20.79% clears required 2.00%; market quality OK,-10.0,False,True,-10.0,4.081632653061225,4.081632653061225,-10.0,-10.0
2023,3,2023_03_CAR_SEA,REG,SEA,CAR,0,1.0,False,away,CAR,185.0,0.3384168150964926,-0.03551207697499614,0,edge -3.55% below required 2.00% (base minimum edge 2.00%),-10.0,False,False,4.444444444444445,4.444444444444445,4.444444444444445,-10.0,
2023,3,2023_03_DAL_ARI,REG,ARI,DAL,0,1.0,False,home,ARI,470.0,0.26139765478738863,0.4899666322881153,1,edge 49.00% clears required 4.00%; market quality OK,47.0,False,True,47.0,-10.0,-10.0,47.0,47.0
2023,3,2023_03_CHI_KC,REG,KC,CHI,0,1.0,False,home,KC,-750.0,0.90420848379083,0.024769614962940625,0,edge 2.48% below required 4.00% (base minimum edge 2.00%; short favorite (-750 <= -250): +2.00%),1.3333333333333333,True,True,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,
2023,3,2023_03_PIT_LV,REG,LV,PIT,0,0.0,False,away,PIT,124.0,0.501565154067577,0.12350594511137236,1,edge 12.35% clears required 3.00%; market quality OK,12.4,False,False,-10.0,-10.0,12.4,12.4,12.4
2023,3,2023_03_PHI_TB,REG,TB,PHI,0,0.0,False,home,TB,210.0,0.4214328818898818,0.3064419338586337,1,edge 30.64% clears required 2.00%; market quality OK,-10.0,False,True,-10.0,3.8759689922480622,3.8759689922480622,-10.0,-10.0
2023,3,2023_03_LA_CIN,REG,CIN,LA,0,1.0,False,home,CIN,-162.0,0.7210130430184897,0.16608282265953267,1,edge 16.61% clears required 2.00%; market quality OK,6.172839506172839,True,True,6.172839506172839,6.172839506172839,6.172839506172839,6.172839506172839,6.172839506172839
2023,4,2023_04_DET_GB,REG,GB,DET,1,0.0,False,home,GB,120.0,0.6450472436634681,0.4191039360596298,1,edge 41.91% clears required 2.00%; market quality OK,-10.0,False,True,-10.0,7.04225352112676,-10.0,-10.0,-10.0
2023,4,2023_04_ATL_JAX,REG,JAX,ATL,0,1.0,False,away,ATL,154.0,0.43558089271594913,0.10637546749851079,1,edge 10.64% clears required 2.00%; market quality OK,-10.0,False,False,5.405405405405405,5.405405405405405,5.405405405405405,-10.0,-10.0
2023,4,2023_04_MIA_BUF,REG,BUF,MIA,1,1.0,False,home,BUF,-142.0,0.7117557269142415,0.21299215431863683,1,edge 21.30% clears required 2.00%; market quality OK,7.04225352112676,True,True,7.04225352112676,7.04225352112676,7.04225352112676,7.04225352112676,7.04225352112676
2023,4,2023_04_MIN_CAR,REG,CAR,MIN,0,0.0,False,home,CAR,185.0,0.4909939241479288,0.39933268382159715,1,edge 39.93% clears required 3.00%; market quality OK,-10.0,False,True,-10.0,4.444444444444445,4.444444444444445,-10.0,-10.0
2023,4,2023_04_DEN_CHI,REG,CHI,DEN,0,0.0,False,home,CHI,136.0,0.5214712219594441,0.23067208382428805,1,edge 23.07% clears required 3.00%; market quality OK,-10.0,False,True,-10.0,6.172839506172839,-10.0,-10.0,-10.0
2023,4,2023_04_BAL_CLE,REG,CLE,BAL,1,0.0,False,home,CLE,114.0,0.588479843383074,0.2593468648397783,1,edge 25.93% clears required 2.00%; market quality OK,-10.0,False,True,-10.0,7.4074074074074066,-10.0,-10.0,-10.0
2023,4,2023_04_PIT_HOU,REG,HOU,PIT,0,1.0,False,away,PIT,-162.0,0.6598757150867853,0.06720640341196144,1,edge 6.72% clears required 2.00%; market quality OK,-10.0,True,False,13.600000000000001,-10.0,-10.0,-10.0,-10.0
2023,4,2023_04_LA_IND,REG,IND,LA,0,0.0,False,home,IND,-105.0,0.5380722966866543,0.05052210305489657,1,edge 5.05% clears required 3.00%; market quality OK,-10.0,True,True,-10.0,8.695652173913043,-10.0,-10.0,-10.0
